| Character   |   Char count |   Bit number |
| ῦ           |          107 |           24 |
| 伝          |          107 |           24 |
| 县          |          107 |           24 |
| 張          |          107 |           24 |
| 宇          |          106 |           24 |
| 群          |          106 |           24 |
| 신          |          106 |           24 |
| Œ           |          106 |           16 |
| 체          |          106 |           24 |
| ṯ           |          106 |           24 |
| 松          |          106 |           24 |
| ῶ           |          106 |           24 |
| 食          |          105 |           24 |
| 达          |          105 |           24 |
| ḍ           |          105 |           24 |
| ょ          |          105 |           24 |
| 旗          |          105 |           24 |
| 魔          |          105 |           24 |
| 孝          |          105 |           24 |
| ἄ           |          104 |           24 |
| 術          |          104 |           24 |
| 程          |          104 |           24 |
| 萨          |          104 |           24 |
| జ           |          104 |           24 |
| 寺          |          104 |           24 |
| 少          |          103 |           24 |
| ờ           |          103 |           24 |
| 运          |          103 |           24 |
| 포          |          103 |           24 |
| 症          |          102 |           24 |
| ા            |          102 |           24 |
| ĕ           |          102 |           16 |
| 汉          |          102 |           24 |
| 蒙          |          102 |           24 |
| ె            |          102 |           24 |
| 酒          |          102 |           24 |
| 命          |          102 |           24 |
| 型          |          102 |           24 |
| 秀          |          102 |           24 |
| 算          |          101 |           24 |
| じ          |          101 |           24 |
| 莱          |          101 |           24 |
| 恩          |          101 |           24 |
| 源          |          101 |           24 |
| দ           |          100 |           24 |
| 情          |          100 |           24 |
| 무          |           99 |           24 |
| 密          |           99 |           24 |
| ─           |           99 |           24 |
| 千          |           98 |           24 |
| ὸ           |           98 |           24 |
| 计          |           98 |           24 |
| 放          |           98 |           24 |
| 域          |           98 |           24 |
| 盟          |           98 |           24 |
| 后          |           98 |           24 |
| 알          |           97 |           24 |
| 물          |           97 |           24 |
| ோ            |           97 |           24 |
| 井          |           97 |           24 |
| 圣          |           97 |           24 |
| 最          |           97 |           24 |
| 経          |           97 |           24 |
| ়            |           96 |           24 |
| ્            |           96 |           24 |
| ো            |           96 |           24 |
| 党          |           96 |           24 |
| ّ            |           95 |           16 |
| 知          |           95 |           24 |
| �           |           95 |           24 |
| 중          |           95 |           24 |
| 朗          |           95 |           24 |
| ప           |           95 |           24 |
| え          |           95 |           24 |
| ฐ           |           94 |           24 |
| 哥          |           94 |           24 |
| 경          |           94 |           24 |
| 博          |           94 |           24 |
| 良          |           94 |           24 |
| 翰          |           94 |           24 |
| స           |           94 |           24 |
| ！          |           94 |           24 |
| ಸ           |           93 |           24 |
| প           |           93 |           24 |
| Ŝ           |           93 |           16 |
| ष           |           93 |           24 |
| 見          |           93 |           24 |
| ʤ           |           93 |           16 |
| 説          |           93 |           24 |
| ર           |           92 |           24 |
| 間          |           92 |           24 |
| َ            |           92 |           16 |
| 可          |           92 |           24 |
| 门          |           92 |           24 |
| ǝ           |           92 |           16 |
| 클          |           92 |           24 |
| ủ           |           92 |           24 |
| 菲          |           92 |           24 |
| ʦ           |           92 |           16 |
| Џ           |           92 |           16 |
| 解          |           91 |           24 |
| 查          |           91 |           24 |
| 能          |           91 |           24 |
| ญ           |           91 |           24 |
| 律          |           91 |           24 |
| 赤          |           91 |           24 |
| 卫          |           91 |           24 |
| ற           |           90 |           24 |
| ĥ           |           90 |           16 |
| 图          |           90 |           24 |
| 苏          |           90 |           24 |
| ゾ          |           90 |           24 |
| 銀          |           90 |           24 |
| 季          |           90 |           24 |
| 超          |           90 |           24 |
| 業          |           89 |           24 |
| ু            |           89 |           24 |
| ἰ           |           89 |           24 |
| ắ           |           89 |           24 |
| 章          |           89 |           24 |
| 贝          |           88 |           24 |
| 病          |           88 |           24 |
| ґ           |           88 |           16 |
| 朱          |           88 |           24 |
| 開          |           88 |           24 |
| 야          |           88 |           24 |
| 影          |           88 |           24 |
| ђ           |           88 |           16 |
| 联          |           88 |           24 |
| 러          |           87 |           24 |
| 半          |           87 |           24 |
| 丁          |           87 |           24 |
| Щ           |           87 |           16 |
| 葉          |           87 |           24 |
| 常          |           87 |           24 |
| ŵ           |           87 |           16 |
| ụ           |           86 |           24 |
| 那          |           86 |           24 |
| 果          |           86 |           24 |
| 赫          |           86 |           24 |
| 死          |           86 |           24 |
| 反          |           86 |           24 |
| 雅          |           86 |           24 |
| 강          |           86 |           24 |
| ĵ           |           86 |           16 |
| 所          |           86 |           24 |
| 血          |           86 |           24 |
| せ          |           86 |           24 |
| į           |           86 |           16 |
| ¨           |           86 |           16 |
| „           |           86 |           24 |
| 期          |           85 |           24 |
| Ά           |           85 |           16 |
| ự           |           85 |           24 |
| হ           |           85 |           24 |
| ե           |           85 |           16 |
| 根          |           85 |           24 |
| ჯ           |           85 |           24 |
| 諸          |           85 |           24 |
| 迪          |           85 |           24 |
| ợ           |           85 |           24 |
| 典          |           85 |           24 |
| 岛          |           85 |           24 |
| ʋ           |           85 |           16 |
| 景          |           85 |           24 |
| 雲          |           85 |           24 |
| క           |           85 |           24 |
| ‚           |           85 |           24 |
| ≤           |           85 |           24 |
| ʂ           |           85 |           16 |
| わ          |           85 |           24 |
| 经          |           84 |           24 |
| ฎ           |           84 |           24 |
| 孫          |           84 |           24 |
| ¾           |           84 |           16 |
| 艾          |           83 |           24 |
| 話          |           83 |           24 |
| 란          |           83 |           24 |
| 梅          |           83 |           24 |
| 志          |           83 |           24 |
| ɦ           |           83 |           16 |
| ใ           |           83 |           24 |
| 草          |           82 |           24 |
| 演          |           82 |           24 |
| 黃          |           82 |           24 |
| 鲁          |           82 |           24 |
| 昭          |           82 |           24 |
| 議          |           82 |           24 |
| 橋          |           82 |           24 |
| 雄          |           82 |           24 |
| ὐ           |           81 |           24 |
| Ζ           |           81 |           16 |
| 黑          |           81 |           24 |
| 만          |           81 |           24 |
| 首          |           81 |           24 |
| 使          |           81 |           24 |
| 嘉          |           81 |           24 |
| 연          |           81 |           24 |
| ɟ           |           81 |           16 |
| 隆          |           81 |           24 |
| 府          |           80 |           24 |
| গ           |           80 |           24 |
| ի           |           80 |           16 |
| 象          |           80 |           24 |
| 伦          |           80 |           24 |
| 団          |           80 |           24 |
| 節          |           80 |           24 |
| 兵          |           80 |           24 |
| 師          |           80 |           24 |
| ನ           |           79 |           24 |
| 因          |           79 |           24 |
| 富          |           79 |           24 |
| ै            |           79 |           24 |
| 히          |           79 |           24 |
| 亨          |           79 |           24 |
| だ          |           79 |           24 |
| 維          |           79 |           24 |
| 夜          |           79 |           24 |
| ↓           |           79 |           24 |
| ־           |           79 |           16 |
| 番          |           78 |           24 |
| 坦          |           78 |           24 |
| ո           |           78 |           16 |
| 페          |           78 |           24 |
| 즈          |           78 |           24 |
| 纪          |           78 |           24 |
| 법          |           78 |           24 |
| 顿          |           78 |           24 |
| ķ           |           78 |           16 |
| 豆          |           78 |           24 |
| 湾          |           78 |           24 |
| ĭ           |           78 |           16 |
| 起          |           78 |           24 |
| ট           |           77 |           24 |
| 论          |           77 |           24 |
| 毛          |           77 |           24 |
| 易          |           77 |           24 |
| Ô           |           77 |           16 |
| 想          |           77 |           24 |
| 堡          |           76 |           24 |
| ہ           |           76 |           16 |
| 黄          |           76 |           24 |
| 胡          |           76 |           24 |
| ∧           |           76 |           24 |
| 万          |           76 |           24 |
| 반          |           75 |           24 |
| ே            |           75 |           24 |
| ば          |           75 |           24 |
| ژ           |           75 |           16 |
| 登          |           75 |           24 |
| 速          |           75 |           24 |
| 達          |           75 |           24 |
| 秋          |           75 |           24 |
| 館          |           75 |           24 |
| 直          |           75 |           24 |
| 延          |           75 |           24 |
| 欧          |           75 |           24 |
| є           |           75 |           16 |
| ῖ           |           74 |           24 |
| ஸ           |           74 |           24 |
| 非          |           74 |           24 |
| 飛          |           74 |           24 |
| 历          |           74 |           24 |
| 得          |           74 |           24 |
| 皮          |           74 |           24 |
| 組          |           74 |           24 |
| 運          |           74 |           24 |
| 料          |           74 |           24 |
| 雪          |           74 |           24 |
| 津          |           74 |           24 |
| 徳          |           74 |           24 |
| 양          |           73 |           24 |
| ን           |           73 |           24 |
| 버          |           73 |           24 |
| ˁ           |           73 |           16 |
| 长          |           73 |           24 |
| 瑞          |           73 |           24 |
| 官          |           73 |           24 |
| 久          |           73 |           24 |
| 廣          |           73 |           24 |
| 网          |           73 |           24 |
| ゅ          |           73 |           24 |
| 趙          |           73 |           24 |
| 业          |           72 |           24 |
| ろ          |           72 |           24 |
| ங           |           72 |           24 |
| 經          |           72 |           24 |
| 영          |           72 |           24 |
| 報          |           72 |           24 |
| 支          |           72 |           24 |
| 頭          |           72 |           24 |
| 牛          |           72 |           24 |
| 紅          |           72 |           24 |
| 玉          |           72 |           24 |
| 乾          |           72 |           24 |
| 核          |           72 |           24 |
| 隊          |           72 |           24 |
| 慶          |           72 |           24 |
| 男          |           71 |           24 |
| ổ           |           71 |           24 |
| आ           |           71 |           24 |
| 게          |           71 |           24 |
| 蒂          |           71 |           24 |
| 방          |           71 |           24 |
| 意          |           71 |           24 |
| び          |           71 |           24 |
| や          |           71 |           24 |
| Ἀ           |           70 |           24 |
| அ           |           70 |           24 |
| 爱          |           70 |           24 |
| 남          |           70 |           24 |
| 先          |           70 |           24 |
| Ḥ           |           70 |           24 |
| 精          |           70 |           24 |
| 指          |           70 |           24 |
| қ           |           70 |           16 |
| Ē           |           69 |           16 |
| ผ           |           69 |           24 |
| ʿ           |           69 |           16 |
| 何          |           69 |           24 |
| 甲          |           69 |           24 |
| 俱          |           69 |           24 |
| 宣          |           69 |           24 |
| 谷          |           69 |           24 |
| 略          |           69 |           24 |
| 氏          |           69 |           24 |
| ⊢           |           69 |           24 |
| 像          |           68 |           24 |
| 宙          |           68 |           24 |
| そ          |           68 |           24 |
| 寶          |           68 |           24 |
| ġ           |           68 |           16 |
| ɯ           |           68 |           16 |
| 近          |           68 |           24 |
| 別          |           68 |           24 |
| ể           |           68 |           24 |
| 切          |           68 |           24 |
| 思          |           68 |           24 |
| 总          |           68 |           24 |
| 喜          |           67 |           24 |
| ક           |           67 |           24 |
| ‍            |           67 |           24 |
| џ           |           67 |           16 |
| 와          |           67 |           24 |
| ử           |           67 |           24 |
| 진          |           67 |           24 |
| 則          |           67 |           24 |
| 牙          |           67 |           24 |
| ɚ           |           67 |           16 |
| 泳          |           67 |           24 |
| 쿠          |           67 |           24 |
| 刀          |           67 |           24 |
| 楊          |           67 |           24 |
| 類          |           66 |           24 |
| ು            |           66 |           24 |
| 군          |           66 |           24 |
| 対          |           66 |           24 |
| 智          |           66 |           24 |
| 匹          |           66 |           24 |
| ܐ           |           66 |           16 |
| 発          |           66 |           24 |
| 昌          |           66 |           24 |
| 鳥          |           66 |           24 |
| ĩ           |           66 |           16 |
| 歴          |           66 |           24 |
| ూ            |           66 |           24 |
| 寧          |           66 |           24 |
| 峡          |           66 |           24 |
| 韓          |           66 |           24 |
| ই           |           65 |           24 |
| ʕ           |           65 |           16 |
| 차          |           65 |           24 |
| 佛          |           65 |           24 |
| 医          |           65 |           24 |
| Ľ           |           65 |           16 |
| 商          |           65 |           24 |
| 현          |           65 |           24 |
| 래          |           64 |           24 |
| 식          |           64 |           24 |
| ც           |           64 |           24 |
| 変          |           64 |           24 |
| 數          |           64 |           24 |
| 회          |           64 |           24 |
| ď           |           64 |           16 |
| ʎ           |           64 |           16 |
| 츠          |           64 |           24 |
| 闘          |           64 |           24 |
| 油          |           64 |           24 |
| Ī           |           64 |           16 |
| 是          |           64 |           24 |
| 温          |           64 |           24 |
| 革          |           64 |           24 |
| 泉          |           64 |           24 |
| 順          |           64 |           24 |
| ತ           |           63 |           24 |
| फ           |           63 |           24 |
| 陸          |           63 |           24 |
| 声          |           63 |           24 |
| Ć           |           63 |           16 |
| 級          |           63 |           24 |
| 然          |           63 |           24 |
| Ê           |           63 |           16 |
| 進          |           63 |           24 |
| 麻          |           63 |           24 |
| 校          |           63 |           24 |
| 김          |           63 |           24 |
| ಕ           |           62 |           24 |
| 属          |           62 |           24 |
| ़            |           62 |           24 |
| 冬          |           62 |           24 |
| ひ          |           62 |           24 |
| 提          |           62 |           24 |
| 丹          |           62 |           24 |
| 哲          |           62 |           24 |
| 樂          |           62 |           24 |
| 犬          |           62 |           24 |
| 阳          |           62 |           24 |
| 济          |           62 |           24 |
| 品          |           62 |           24 |
| 赛          |           62 |           24 |
| 唐          |           62 |           24 |
| 乌          |           62 |           24 |
| 彼          |           62 |           24 |
| ̊            |           62 |           16 |
| 侯          |           62 |           24 |
| າ           |           62 |           24 |
| 백          |           62 |           24 |
| へ          |           62 |           24 |
| 忠          |           62 |           24 |
| 灘          |           62 |           24 |
| 極          |           61 |           24 |
| 屋          |           61 |           24 |
| గ           |           61 |           24 |
| 线          |           61 |           24 |
| 承          |           61 |           24 |
| 船          |           61 |           24 |
| 茶          |           61 |           24 |
| 镇          |           61 |           24 |
| 遊          |           61 |           24 |
| 鮮          |           61 |           24 |
| ས           |           61 |           24 |
| ொ            |           60 |           24 |
| 术          |           60 |           24 |
| 烈          |           60 |           24 |
| 슈          |           60 |           24 |
| ಲ           |           60 |           24 |
| 育          |           60 |           24 |
| త           |           60 |           24 |
| 섬          |           60 |           24 |
| 광          |           60 |           24 |
| 军          |           60 |           24 |
| 时          |           60 |           24 |
| 姬          |           60 |           24 |
| 际          |           60 |           24 |
| 乔          |           60 |           24 |
| 限          |           60 |           24 |
| শ           |           59 |           24 |
| ী            |           59 |           24 |
| 왕          |           59 |           24 |
| ವ           |           59 |           24 |
| ἡ           |           59 |           24 |
| 언          |           59 |           24 |
| 杜          |           59 |           24 |
| Ɔ           |           59 |           16 |
| 協          |           59 |           24 |
| 射          |           59 |           24 |
| 樹          |           59 |           24 |
| 麦          |           59 |           24 |
| 胞          |           59 |           24 |
| 印          |           59 |           24 |
| 点          |           59 |           24 |
| 《          |           59 |           24 |
| 》          |           59 |           24 |
| ∨           |           59 |           24 |
| ご          |           59 |           24 |
| 領          |           58 |           24 |
| ড           |           58 |           24 |
| ಟ           |           58 |           24 |
| ʾ           |           58 |           16 |
| ど          |           58 |           24 |
| 計          |           58 |           24 |
| 莫          |           58 |           24 |
| ÷           |           58 |           16 |
| ಯ           |           58 |           24 |
| 佐          |           58 |           24 |
| 간          |           58 |           24 |
| 微          |           58 |           24 |
| 奈          |           58 |           24 |
| ↑           |           58 |           24 |
| 廉          |           58 |           24 |
| ೯           |           58 |           24 |
| ῆ           |           57 |           24 |
| 造          |           57 |           24 |
| Ğ           |           57 |           16 |
| 選          |           57 |           24 |
| 关          |           57 |           24 |
| 龙          |           57 |           24 |
| Ë           |           57 |           16 |
| 爆          |           57 |           24 |
| 室          |           57 |           24 |
| 骨          |           57 |           24 |
| ɤ           |           57 |           16 |
| 목          |           57 |           24 |
| 拳          |           57 |           24 |
| ʈ           |           57 |           16 |
| ὰ           |           56 |           24 |
| 천          |           56 |           24 |
| 족          |           56 |           24 |
| ി            |           56 |           24 |
| 植          |           56 |           24 |
| 플          |           56 |           24 |
| 范          |           56 |           24 |
| ừ           |           56 |           24 |
| 관          |           56 |           24 |
| 什          |           56 |           24 |
| 熱          |           56 |           24 |
| 關          |           56 |           24 |
| 发          |           56 |           24 |
| 茨          |           56 |           24 |
| 은          |           56 |           24 |
| 局          |           56 |           24 |
| 拿          |           56 |           24 |
| 宝          |           56 |           24 |
| ぎ          |           56 |           24 |
| 岩          |           56 |           24 |
| ũ           |           56 |           16 |
| 越          |           56 |           24 |
| 貞          |           56 |           24 |
| 要          |           56 |           24 |
| 街          |           56 |           24 |
| 賞          |           55 |           24 |
| 藏          |           55 |           24 |
| 陳          |           55 |           24 |
| ←           |           55 |           24 |
| 瑟          |           55 |           24 |
| 魚          |           55 |           24 |
| ُ            |           55 |           16 |
| 體          |           55 |           24 |
| 実          |           55 |           24 |
| 爵          |           55 |           24 |
| ṃ           |           55 |           24 |
| 蘇          |           55 |           24 |
| 御          |           55 |           24 |
| ǀ           |           55 |           16 |
| Ĝ           |           55 |           16 |
| 引          |           55 |           24 |
| 拓          |           55 |           24 |
| 虎          |           54 |           24 |
| 론          |           54 |           24 |
| 올          |           54 |           24 |
| 修          |           54 |           24 |
| 委          |           54 |           24 |
| 望          |           54 |           24 |
| 帕          |           54 |           24 |
| 問          |           54 |           24 |
| 후          |           54 |           24 |
| 入          |           54 |           24 |
| 将          |           54 |           24 |
| 夢          |           54 |           24 |
| 腐          |           54 |           24 |
| 투          |           53 |           24 |
| 합          |           53 |           24 |
| 細          |           53 |           24 |
| 린          |           53 |           24 |
| ჩ           |           53 |           24 |
| 임          |           53 |           24 |
| 萬          |           53 |           24 |
| డ           |           53 |           24 |
| 避          |           52 |           24 |
| 케          |           52 |           24 |
| 속          |           52 |           24 |
| 黒          |           52 |           24 |
| 단          |           52 |           24 |
| 宁          |           52 |           24 |
| 等          |           52 |           24 |
| 尾          |           52 |           24 |
| 耶          |           52 |           24 |
| 班          |           52 |           24 |
| 霍          |           52 |           24 |
| 題          |           52 |           24 |
| 聯          |           52 |           24 |
| 랑          |           52 |           24 |
| ◊           |           52 |           24 |
| 玛          |           52 |           24 |
| 急          |           52 |           24 |
| ゆ          |           51 |           24 |
| ழ           |           51 |           24 |
| ず          |           51 |           24 |
| 在          |           51 |           24 |
| ɫ           |           51 |           16 |
| મ           |           51 |           24 |
| 库          |           51 |           24 |
| 撃          |           51 |           24 |
| Ĥ           |           51 |           16 |
| 客          |           51 |           24 |
| 率          |           51 |           24 |
| 以          |           51 |           24 |
| ര           |           51 |           24 |
| 若          |           51 |           24 |
| 静          |           51 |           24 |
| ☆           |           51 |           24 |
| 諾          |           51 |           24 |
| 穆          |           51 |           24 |
| 【          |           51 |           24 |
| 】          |           51 |           24 |
| 昧          |           50 |           24 |
| 북          |           50 |           24 |
| 剣          |           50 |           24 |
| 優          |           50 |           24 |
| 독          |           50 |           24 |
| ृ            |           50 |           24 |
| 沃          |           50 |           24 |
| 質          |           50 |           24 |
| ೧           |           50 |           24 |
| ɻ           |           50 |           16 |
| ే            |           50 |           24 |
| 拔          |           50 |           24 |
| 殺          |           50 |           24 |
| 始          |           50 |           24 |
| 蓮          |           50 |           24 |
| 书          |           50 |           24 |
| 표          |           50 |           24 |
| 衣          |           50 |           24 |
| 縣          |           50 |           24 |
| 鐵          |           50 |           24 |
| ſ           |           50 |           16 |
| Õ           |           50 |           16 |
| ో            |           50 |           24 |
| చ           |           50 |           24 |
| 类          |           49 |           24 |
| 澳          |           49 |           24 |
| Έ           |           49 |           16 |
| ँ            |           49 |           24 |
| 納          |           49 |           24 |
| 打          |           49 |           24 |
| 版          |           49 |           24 |
| 卢          |           49 |           24 |
| 红          |           49 |           24 |
| ക           |           49 |           24 |
| 環          |           49 |           24 |
| 洪          |           49 |           24 |
| 「          |           49 |           24 |
| 」          |           49 |           24 |
| ね          |           49 |           24 |
| 標          |           49 |           24 |
| べ          |           49 |           24 |
| 鬼          |           49 |           24 |
| ई           |           48 |           24 |
| थ           |           48 |           24 |
| ւ           |           48 |           16 |
| 태          |           48 |           24 |
| 模          |           48 |           24 |
| 누          |           48 |           24 |
| 詞          |           48 |           24 |
| 组          |           48 |           24 |
| ỳ           |           48 |           24 |
| 랜          |           48 |           24 |
| 棋          |           48 |           24 |
| 護          |           48 |           24 |
| 宋          |           48 |           24 |
| 虫          |           48 |           24 |
| 好          |           48 |           24 |
| আ           |           47 |           24 |
| 류          |           47 |           24 |
| 曖          |           47 |           24 |
| ึ            |           47 |           24 |
| 행          |           47 |           24 |
| 명          |           47 |           24 |
| 響          |           47 |           24 |
| 삼          |           47 |           24 |
| 応          |           47 |           24 |
| 権          |           47 |           24 |
| 容          |           47 |           24 |
| Ř           |           47 |           16 |
| ூ            |           47 |           24 |
| இ           |           47 |           24 |
| ү           |           47 |           16 |
| 毒          |           47 |           24 |
| ಮ           |           47 |           24 |
| 开          |           47 |           24 |
| ʨ           |           47 |           16 |
| 活          |           47 |           24 |
| 弘          |           47 |           24 |
| 祐          |           47 |           24 |
| 薩          |           46 |           24 |
| ન           |           46 |           24 |
| ત           |           46 |           24 |
| 탄          |           46 |           24 |
| ِ            |           46 |           16 |
| 探          |           46 |           24 |
| इ           |           46 |           24 |
| 俄          |           46 |           24 |
| 炎          |           46 |           24 |
| ふ          |           46 |           24 |
| 友          |           46 |           24 |
| 研          |           46 |           24 |
| 双          |           46 |           24 |
| 督          |           46 |           24 |
| ོ            |           46 |           24 |
| 话          |           46 |           24 |
| ∈           |           46 |           24 |
| 感          |           46 |           24 |
| ǫ           |           46 |           16 |
| 旅          |           46 |           24 |
| ₩           |           46 |           24 |
| ：          |           46 |           24 |
| 序          |           45 |           24 |
| տ           |           45 |           16 |
| յ           |           45 |           16 |
| 劇          |           45 |           24 |
| 芬          |           45 |           24 |
| 結          |           45 |           24 |
| 발          |           45 |           24 |
| ಂ            |           45 |           24 |
| 생          |           45 |           24 |
| 辛          |           45 |           24 |
| 当          |           45 |           24 |
| 接          |           45 |           24 |
| 운          |           45 |           24 |
| 送          |           45 |           24 |
| ܝ           |           45 |           16 |
| 분          |           45 |           24 |
| 广          |           45 |           24 |
| 令          |           45 |           24 |
| ः            |           45 |           24 |
| 游          |           45 |           24 |
| 온          |           45 |           24 |
| 身          |           45 |           24 |
| 至          |           45 |           24 |
| 저          |           45 |           24 |
| 排          |           45 |           24 |
| ǂ           |           45 |           16 |
| പ           |           45 |           24 |
| 符          |           45 |           24 |
| 吳          |           45 |           24 |
| 片          |           45 |           24 |
| 仙          |           45 |           24 |
| 総          |           45 |           24 |
| ֻ            |           45 |           16 |
| 株          |           45 |           24 |
| 폴          |           44 |           24 |
| 戈          |           44 |           24 |
| ാ            |           44 |           24 |
| ஜ           |           44 |           24 |
| 对          |           44 |           24 |
| ష           |           44 |           24 |
| 敦          |           44 |           24 |
| 奧          |           44 |           24 |
| 용          |           44 |           24 |
| 작          |           44 |           24 |
| ʱ           |           44 |           16 |
| 攻          |           44 |           24 |
| བ           |           44 |           24 |
| 央          |           44 |           24 |
| 池          |           44 |           24 |
| 여          |           44 |           24 |
| 耳          |           44 |           24 |
| 울          |           44 |           24 |
| 甘          |           44 |           24 |
| 漫          |           44 |           24 |
| 梁          |           44 |           24 |
| 熙          |           44 |           24 |
| ख           |           44 |           24 |
| 構          |           44 |           24 |
| 町          |           44 |           24 |
| 림          |           44 |           24 |
| 呂          |           44 |           24 |
| 无          |           43 |           24 |
| િ            |           43 |           24 |
| 앙          |           43 |           24 |
| 벨          |           43 |           24 |
| 賽          |           43 |           24 |
| 菌          |           43 |           24 |
| 약          |           43 |           24 |
| 传          |           43 |           24 |
| 兹          |           43 |           24 |
| 包          |           43 |           24 |
| 介          |           43 |           24 |
| 웨          |           43 |           24 |
| 端          |           43 |           24 |
| 遠          |           43 |           24 |
| 级          |           43 |           24 |
| 场          |           43 |           24 |
| №           |           43 |           24 |
| ϊ           |           42 |           16 |
| Ò           |           42 |           16 |
| ಪ           |           42 |           24 |
| 애          |           42 |           24 |
| 魯          |           42 |           24 |
| 항          |           42 |           24 |
| ɝ           |           42 |           16 |
| 菜          |           42 |           24 |
| ɖ           |           42 |           16 |
| ƒ           |           42 |           16 |
| ـ           |           42 |           16 |
| 黎          |           42 |           24 |
| 舞          |           42 |           24 |
| 向          |           42 |           24 |
| 글          |           42 |           24 |
| 務          |           42 |           24 |
| 竹          |           42 |           24 |
| 內          |           42 |           24 |
| 悪          |           42 |           24 |
| 助          |           42 |           24 |
| 済          |           42 |           24 |
| 紙          |           42 |           24 |
| 幻          |           42 |           24 |
| 乱          |           42 |           24 |
| 初          |           42 |           24 |
| 惠          |           42 |           24 |
| ΐ           |           42 |           16 |
| ജ           |           42 |           24 |
| 浦          |           42 |           24 |
| 阪          |           42 |           24 |
| 岡          |           42 |           24 |
| 散          |           41 |           24 |
| 及          |           41 |           24 |
| ģ           |           41 |           16 |
| 标          |           41 |           24 |
| ْ            |           41 |           16 |
| 盛          |           41 |           24 |
| Є           |           41 |           16 |
| 肉          |           41 |           24 |
| 現          |           41 |           24 |
| 헤          |           41 |           24 |
| 究          |           41 |           24 |
| 憲          |           41 |           24 |
| 형          |           41 |           24 |
| 仮          |           41 |           24 |
| 兩          |           41 |           24 |
| 兒          |           41 |           24 |
| 快          |           41 |           24 |
| 消          |           41 |           24 |
| 费          |           41 |           24 |
| 貴          |           41 |           24 |
| ད           |           41 |           24 |
| అ           |           41 |           24 |
| ீ            |           40 |           24 |
| ೆ            |           40 |           24 |
| 车          |           40 |           24 |
| 脈          |           40 |           24 |
| ಗ           |           40 |           24 |
| 振          |           40 |           24 |
| 烏          |           40 |           24 |
| 말          |           40 |           24 |
| 乙          |           40 |           24 |
| 거          |           40 |           24 |
| 広          |           40 |           24 |
| 弦          |           40 |           24 |
| 당          |           40 |           24 |
| 崇          |           40 |           24 |
| Ψ           |           40 |           16 |
| ๊            |           40 |           24 |
| 産          |           40 |           24 |
| 円          |           40 |           24 |
| 倫          |           40 |           24 |
| 浪          |           40 |           24 |
| 鄭          |           40 |           24 |
| ざ          |           40 |           24 |
| 桂          |           40 |           24 |
| ગ           |           40 |           24 |
| 두          |           40 |           24 |
| 尊          |           40 |           24 |
| 仲          |           40 |           24 |
| 準          |           40 |           24 |
| 麗          |           40 |           24 |
| 崎          |           40 |           24 |
| 妃          |           40 |           24 |
| ஆ           |           39 |           24 |
| ए           |           39 |           24 |
| 쟁          |           39 |           24 |
| ›           |           39 |           24 |
| 琴          |           39 |           24 |
| 候          |           39 |           24 |
| 적          |           39 |           24 |
| 师          |           39 |           24 |
| 暗          |           39 |           24 |
| 블          |           39 |           24 |
| Ξ           |           39 |           16 |
| 歷          |           39 |           24 |
| 존          |           39 |           24 |
| 奏          |           39 |           24 |
| 张          |           39 |           24 |
| 슬          |           39 |           24 |
| 祭          |           39 |           24 |
| 劳          |           39 |           24 |
| 云          |           39 |           24 |
| 羽          |           39 |           24 |
| ང           |           39 |           24 |
| む          |           39 |           24 |
| 你          |           39 |           24 |
| 臺          |           39 |           24 |
| 覚          |           39 |           24 |
| 议          |           39 |           24 |
| 戸          |           39 |           24 |
| ై            |           39 |           24 |
| 칼          |           38 |           24 |
| ന           |           38 |           24 |
| ̈            |           38 |           16 |
| 렌          |           38 |           24 |
| 함          |           38 |           24 |
| 施          |           38 |           24 |
| ὴ           |           38 |           24 |
| ֲ            |           38 |           16 |
| 丽          |           38 |           24 |
| 他          |           38 |           24 |
| 雨          |           38 |           24 |
| 턴          |           38 |           24 |
| ṅ           |           38 |           24 |
| 头          |           38 |           24 |
| 殿          |           38 |           24 |
| 圏          |           38 |           24 |
| 干          |           38 |           24 |
| ♯           |           38 |           24 |
| 秦          |           38 |           24 |
| 倉          |           38 |           24 |
| 來          |           38 |           24 |
| 離          |           38 |           24 |
| 總          |           38 |           24 |
| 投          |           38 |           24 |
| 異          |           38 |           24 |
| 伏          |           38 |           24 |
| 完          |           38 |           24 |
| ほ          |           38 |           24 |
| எ           |           37 |           24 |
| 员          |           37 |           24 |
| 亜          |           37 |           24 |
| ս           |           37 |           16 |
| ং            |           37 |           24 |
| ʀ           |           37 |           16 |
| 본          |           37 |           24 |
| 単          |           37 |           24 |
| 陵          |           37 |           24 |
| 勃          |           37 |           24 |
| 슨          |           37 |           24 |
| 순          |           37 |           24 |
| ▄           |           37 |           24 |
| 鎮          |           37 |           24 |
| 权          |           37 |           24 |
| 协          |           37 |           24 |
| 貝          |           37 |           24 |
| ভ           |           37 |           24 |
| 豪          |           37 |           24 |
| 恋          |           37 |           24 |
| 底          |           37 |           24 |
| 役          |           37 |           24 |
| 예          |           37 |           24 |
| －          |           37 |           24 |
| 통          |           37 |           24 |
| 焼          |           37 |           24 |
| ӳ           |           37 |           16 |
| Ū           |           37 |           16 |
| 魏          |           37 |           24 |
| 未          |           37 |           24 |
